id,year,thumbnail,image,largeImage,_label,_iiif,_Description,_Publication/creation,_Physical description,_Contributors,_Type/technique,_Subjects,_Attribution and usage,keywords,_Notes,
78c2e4ad81b3c2139750f68992ab2349,1888,"https://iiif.wellcomecollection.org/image/b28667232_0001.jp2/full/90,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28667232_0001.jp2/full/726,1025/0/default.jpg","https://iiif.wellcomecollection.org/image/b28667232_0001.jp2/full/2902,4096/0/default.jpg",The Terrence Higgins Trust.,https://iiif.wellcomecollection.org/presentation/b28667232,<p>Sheet of 6 stickers (showing the THT name and golden heart symbol).</p>,[between 1990 and 1995?],1 sheet : monochrome , 21 x 15 cm,Terrence Higgins Trust,Ephemera,Charities,Wellcome Collection,"Terrence Higgins Trust,Wellcome Collection,Trust,Ephemera",
972ef2190a394168997d484ae121034e,1888,"https://iiif.wellcomecollection.org/image/b2849085x_0001.jp2/full/76,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b2849085x_0001.jp2/full/616,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b2849085x_0001.jp2/full/full/0/default.jpg,"[2 cents charity stamp showing a woman, a red cross below her right hand and a standard (?) / staff in her left. Dated 23 May 1915with reference to Callao in Peru].",https://iiif.wellcomecollection.org/presentation/b2849085x,,1915,,,Ephemera,Callao (Peru),Wellcome Collection,"cents charity stamp,Dated,Collection,red cross",,
66c462d61e7f1f4d3033d95b9b7312c2,1887,"https://iiif.wellcomecollection.org/image/b28491129_0001.jp2/full/94,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28491129_0001.jp2/full/757,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28491129_0001.jp2/full/full/0/default.jpg,[Stamp-like sticker sold to raise funds for the French Red Cross. Bearing a portrait of: Gal. Pau].,https://iiif.wellcomecollection.org/presentation/b28491129,,[Between 1914 and 1918?],,,Ephemera,"World War, 1914-1918",Wellcome Collection,"French Red Cross,Stamp,Gal,Collection",,
584f828dd8257e081e3871fefda7b48d,1886,"https://iiif.wellcomecollection.org/image/b28490861_0001.jp2/full/90,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28490861_0001.jp2/full/727,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28490861_0001.jp2/full/full/0/default.jpg,"[French charity stamp showing a woman holding a Red Cross flag in  her right hand (""Pensez à nos blessés"")].",https://iiif.wellcomecollection.org/presentation/b28490861,,[Between 1914 and 1918?],,,Ephemera,Red Cross and Red Crescent,Wellcome Collection,"Wellcome Collection,French charity stamp,Red Cross flag,right hand",,
48fb794bec4678bcafbe126d69fd4409,1880,"https://iiif.wellcomecollection.org/image/b28491075_0001.jp2/full/95,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28491075_0001.jp2/full/762,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28491075_0001.jp2/full/full/0/default.jpg,[Stamp-like sticker sold to raise funds for the French Red Cross. Bearing a portrait of: Gal. Franchet d'Esperey].,https://iiif.wellcomecollection.org/presentation/b28491075,,[Between 1914 and 1918?],,,Ephemera,"World War, 1914-1918",Wellcome Collection,"French Red Cross,Stamp,Gal,Franchet",,
7794646061c3abb9ba3447f456a74598,,"https://iiif.wellcomecollection.org/image/b28674686_0001.jp2/full/127,127/0/default.jpg","https://iiif.wellcomecollection.org/image/b28674686_0001.jp2/full/1025,1020/0/default.jpg",https://iiif.wellcomecollection.org/image/b28674686_0001.jp2/full/full/0/default.jpg,An opening into Taking Care.,https://iiif.wellcomecollection.org/presentation/b28674686,<p>Circular sticker (12 cm diameter) showing 2 hands opening a condom pack. Part of the Edinburgh 'Take Care' AIDS / HIV prevention campaign.</p>,[between 1990 and 1995?],1 sheet : colour , 12 x 12 cm,Take Care (Health Campaign),Ephemera,Condoms,Wellcome Collection,"Taking Care,Care,Circular sticker,Wellcome Collection","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
73b0a43005e400964350cd0a63f1f53b,,"https://iiif.wellcomecollection.org/image/b28508488_0001.jp2/full/127,101/0/default.jpg","https://iiif.wellcomecollection.org/image/b28508488_0001.jp2/full/1025,813/0/default.jpg",https://iiif.wellcomecollection.org/image/b28508488_0001.jp2/full/full/0/default.jpg,[2 stickers showing toadstools. Sold to raise funds for Danish Red Cross Week. ].,https://iiif.wellcomecollection.org/presentation/b28508488,,1994,,,Ephemera,Red Cross and Red Crescent,Wellcome Collection,"stickers showing toadstools,Wellcome Collection,Red Cross Week,Red",,
10b2f71975989305593f93c8987536b7,,"https://iiif.wellcomecollection.org/image/b20161141_0001.jp2/full/96,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b20161141_0001.jp2/full/775,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b20161141_0001.jp2/full/full/0/default.jpg,British Red Cross Society 1914 : [nurse bending over soldier lying on the ground].,https://iiif.wellcomecollection.org/presentation/b20161141,<p>One of a series of gummed stamps or seals that were sold to raise funds for the British Red Cross at the start of the first world war.</p>,"[Place of publication not identified] : [publisher not identified], 1914.",1 broadside : color illustrations , 6 cm,,Ephemera,"World War, 1914-1918",Wellcome Collection,"Red Cross Society,British Red Cross,Society,Red",
1766a5afb66526952d11a30597d01b9c,,"https://iiif.wellcomecollection.org/image/b28673979_0001.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0001.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0001.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
e46ef733d7e30880b786ffb7dd86b1dd,,"https://iiif.wellcomecollection.org/image/b28673979_0002.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0002.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0002.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
